"","X","mean_fit_time","std_fit_time","mean_score_time","std_score_time","param_preprocessor__num__scaler","param_preprocessor__num__imputer","param_preprocessor__cat__encoder","param_model__shrinking","param_model__probability","param_model__kernel","param_model__gamma","param_model__coef0","param_model__C","param_model","params","split0_test_score","split1_test_score","split2_test_score","split3_test_score","split4_test_score","mean_test_score","std_test_score","rank_test_score"
"30",29,0.0323385715484619,0.00571232781576144,0.0145038604736328,0.00426005087575938,"MinMaxScaler","KNNImputer","OneHotEncoder","True","False","sigmoid","scale",8,21,"SVC","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': KNNImputer(n_neighbors=10), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__shrinking': True, 'model__probability': False, 'model__kernel': 'sigmoid', 'model__gamma': 'scale', 'model__coef0': 8, 'model__C': 21, 'model': SVC(C=11, coef0=4)}",0.433333333333333,0.4,0.466666666666667,0.466666666666667,0.366666666666667,0.426666666666667,0.038873012632302,36
"31",30,0.0257803916931152,0.00492711898153365,0.0102887630462646,0.00523312088606738,"StandardScaler","KNNImputer","OrdinalEncoder","True","False","linear","scale",3,1,"SVC","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': KNNImputer(n_neighbors=10), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__shrinking': True, 'model__probability': False, 'model__kernel': 'linear', 'model__gamma': 'scale', 'model__coef0': 3, 'model__C': 1, 'model': SVC(C=11, coef0=4)}",0.966666666666667,1,0.933333333333333,0.933333333333333,1,0.966666666666667,0.0298142396999972,2
"32",31,0.0168475151062012,0.00708970274414074,0,0,"StandardScaler","SimpleImputer","OrdinalEncoder","False","False","precomputed","auto",4,1,"SVC","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': SimpleImputer(), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__shrinking': False, 'model__probability': False, 'model__kernel': 'precomputed', 'model__gamma': 'auto', 'model__coef0': 4, 'model__C': 1, 'model': SVC(C=11, coef0=4)}",NA,NA,NA,NA,NA,NA,NA,49
"33",32,0.0296967029571533,0.00540539906442214,0,0,"StandardScaler","SimpleImputer","OneHotEncoder","True","False","precomputed","scale",7,31,"SVC","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': SimpleImputer(strategy='most_frequent'), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__shrinking': True, 'model__probability': False, 'model__kernel': 'precomputed', 'model__gamma': 'scale', 'model__coef0': 7, 'model__C': 31, 'model': SVC(C=11, coef0=4)}",NA,NA,NA,NA,NA,NA,NA,39
"34",33,0.0273346424102783,0.011605010207412,0.0111250877380371,0.00499143768234646,"MinMaxScaler","KNNImputer","OrdinalEncoder","True","False","sigmoid","scale",1,21,"SVC","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': KNNImputer(n_neighbors=10), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__shrinking': True, 'model__probability': False, 'model__kernel': 'sigmoid', 'model__gamma': 'scale', 'model__coef0': 1, 'model__C': 21, 'model': SVC(C=11, coef0=4)}",0.133333333333333,0.333333333333333,0.233333333333333,0.133333333333333,0.2,0.206666666666667,0.074236858171067,38
"35",34,0.0205450534820557,0.00536491404126401,0.00925884246826172,0.00502647540632724,"MinMaxScaler","KNNImputer","OrdinalEncoder","True","False","poly","auto",9,11,"SVC","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': KNNImputer(), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__shrinking': True, 'model__probability': False, 'model__kernel': 'poly', 'model__gamma': 'auto', 'model__coef0': 9, 'model__C': 11, 'model': SVC(C=11, coef0=4)}",1,1,0.9,0.933333333333333,1,0.966666666666667,0.0421637021355784,7
"36",35,0.037511682510376,0.00918774601642058,0.0114076614379883,0.00640919578609618,"MinMaxScaler","KNNImputer","OneHotEncoder","False","True","linear","auto",4,1,"SVC","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': KNNImputer(), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__shrinking': False, 'model__probability': True, 'model__kernel': 'linear', 'model__gamma': 'auto', 'model__coef0': 4, 'model__C': 1, 'model': SVC(C=11, coef0=4)}",0.966666666666667,0.966666666666667,0.966666666666667,0.933333333333333,1,0.966666666666667,0.0210818510677892,7
"37",36,0.015110445022583,0.00522920385822179,0,0,"MinMaxScaler","SimpleImputer","OrdinalEncoder","False","True","precomputed","scale",8,31,"SVC","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': SimpleImputer(), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__shrinking': False, 'model__probability': True, 'model__kernel': 'precomputed', 'model__gamma': 'scale', 'model__coef0': 8, 'model__C': 31, 'model': SVC(C=11, coef0=4)}",NA,NA,NA,NA,NA,NA,NA,47
"38",37,0.0278572559356689,0.00785783753946379,0.0128765106201172,0.00858947901041572,"MinMaxScaler","KNNImputer","OneHotEncoder","False","False","poly","auto",3,41,"SVC","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': KNNImputer(), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__shrinking': False, 'model__probability': False, 'model__kernel': 'poly', 'model__gamma': 'auto', 'model__coef0': 3, 'model__C': 41, 'model': SVC(C=11, coef0=4)}",1,1,0.9,0.933333333333333,1,0.966666666666667,0.0421637021355784,7
"39",38,0.0401415824890137,0.0051163988740464,0.011025857925415,0.00600929710476342,"StandardScaler","KNNImputer","OneHotEncoder","True","True","poly","auto",8,21,"SVC","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': KNNImputer(n_neighbors=10), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__shrinking': True, 'model__probability': True, 'model__kernel': 'poly', 'model__gamma': 'auto', 'model__coef0': 8, 'model__C': 21, 'model': SVC(C=11, coef0=4)}",0.966666666666667,0.966666666666667,0.9,0.933333333333333,1,0.953333333333333,0.0339934634239519,27
