"","mean_test_score","std_test_score","param_model"
"106",0.820431862406629,0.0166008099133477,"MLPClassifier"
"107",0.812572970937167,0.0237023970021661,"MLPClassifier"
"108",0.811430544221957,0.0270742866681594,"MLPClassifier"
"109",NA,NA,"MLPClassifier"
"110",0.598443286673781,0.108072909216646,"MLPClassifier"
"111",NA,NA,"MLPClassifier"
"112",0.810319502856067,0.0223482782027886,"MLPClassifier"
"113",0.474847781055803,0.112341169517208,"MLPClassifier"
"114",0.802454334316741,0.0265461611214805,"MLPClassifier"
"115",NA,NA,"MLPClassifier"
"116",NA,NA,"MLPClassifier"
"117",0.805831397903459,0.0258007470931124,"MLPClassifier"
"118",0.815931203314293,0.0239818031583626,"MLPClassifier"
"119",0.783453643839056,0.0388872892993226,"MLPClassifier"
"120",0.822660222208273,0.0240668261315759,"MLPClassifier"
