"","X","mean_fit_time","std_fit_time","mean_score_time","std_score_time","param_preprocessor__num__scaler","param_preprocessor__num__imputer","param_preprocessor__cat__encoder","param_model__solver","param_model__multi_class","param_model__C","param_model","params","split0_test_score","split1_test_score","split2_test_score","split3_test_score","split4_test_score","mean_test_score","std_test_score","rank_test_score"
"11",10,0.137309789657593,0.0508472281071971,0,0,"StandardScaler","KNNImputer","OrdinalEncoder","sag","ovr",1,"LogisticRegression","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': KNNImputer(n_neighbors=10), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__solver': 'sag', 'model__multi_class': 'ovr', 'model__C': 1, 'model': LogisticRegression(C=41, multi_class='multinomial', solver='saga')}",NA,NA,NA,NA,NA,NA,NA,50
"12",11,0.216765069961548,0.0510976476183458,0.0361472606658936,0.00962179502472373,"StandardScaler","SimpleImputer","OneHotEncoder","saga","ovr",1,"LogisticRegression","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': SimpleImputer(), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__solver': 'saga', 'model__multi_class': 'ovr', 'model__C': 1, 'model': LogisticRegression(C=41, multi_class='multinomial', solver='saga')}",0.815642458100559,0.792134831460674,0.814606741573034,0.797752808988764,0.825842696629214,0.809195907350449,0.0124094766004169,25
"13",12,0.239748620986938,0.033843449371353,0.0332168102264404,0.0141131476444325,"StandardScaler","SimpleImputer","OneHotEncoder","sag","multinomial",16,"LogisticRegression","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': SimpleImputer(strategy='most_frequent'), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__solver': 'sag', 'model__multi_class': 'multinomial', 'model__C': 16, 'model': LogisticRegression(C=41, multi_class='multinomial', solver='saga')}",0.832402234636871,0.797752808988764,0.825842696629214,0.814606741573034,0.820224719101124,0.818165840185801,0.0117915822500104,18
"14",13,0.235614776611328,0.0652625843744392,0.0396922588348389,0.00990310102339637,"StandardScaler","SimpleImputer","OneHotEncoder","saga","ovr",21,"LogisticRegression","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': SimpleImputer(), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__solver': 'saga', 'model__multi_class': 'ovr', 'model__C': 21, 'model': LogisticRegression(C=41, multi_class='multinomial', solver='saga')}",0.826815642458101,0.786516853932584,0.820224719101124,0.814606741573034,0.831460674157303,0.815924926244429,0.0157799094382457,22
"15",14,0.178162002563477,0.0506033068436406,0,0,"MinMaxScaler","KNNImputer","OrdinalEncoder","sag","multinomial",41,"LogisticRegression","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': KNNImputer(n_neighbors=10), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__solver': 'sag', 'model__multi_class': 'multinomial', 'model__C': 41, 'model': LogisticRegression(C=41, multi_class='multinomial', solver='saga')}",NA,NA,NA,NA,NA,NA,NA,31
"16",15,0.157196712493896,0.0407320027112953,0,0,"StandardScaler","KNNImputer","OrdinalEncoder","sag","ovr",41,"LogisticRegression","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': KNNImputer(n_neighbors=10), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__solver': 'sag', 'model__multi_class': 'ovr', 'model__C': 41, 'model': LogisticRegression(C=41, multi_class='multinomial', solver='saga')}",NA,NA,NA,NA,NA,NA,NA,37
"17",16,0.14394063949585,0.0231707960017661,0,0,"StandardScaler","KNNImputer","OrdinalEncoder","lbfgs","multinomial",6,"LogisticRegression","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': KNNImputer(), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__solver': 'lbfgs', 'model__multi_class': 'multinomial', 'model__C': 6, 'model': LogisticRegression(C=41, multi_class='multinomial', solver='saga')}",NA,NA,NA,NA,NA,NA,NA,38
"18",17,0.284919214248657,0.0430078413005531,0.0426418304443359,0.00964058024395092,"MinMaxScaler","SimpleImputer","OneHotEncoder","newton-cg","ovr",46,"LogisticRegression","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': SimpleImputer(strategy='most_frequent'), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__solver': 'newton-cg', 'model__multi_class': 'ovr', 'model__C': 46, 'model': LogisticRegression(C=41, multi_class='multinomial', solver='saga')}",0.849162011173184,0.803370786516854,0.825842696629214,0.831460674157303,0.837078651685393,0.82938296403239,0.0151255946395458,6
"19",18,0.28639407157898,0.0803352298705505,0.0453813552856445,0.0131464896697171,"StandardScaler","SimpleImputer","OneHotEncoder","lbfgs","ovr",1,"LogisticRegression","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': SimpleImputer(), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__solver': 'lbfgs', 'model__multi_class': 'ovr', 'model__C': 1, 'model': LogisticRegression(C=41, multi_class='multinomial', solver='saga')}",0.815642458100559,0.786516853932584,0.814606741573034,0.797752808988764,0.825842696629214,0.808072311844831,0.0140493584664493,26
"20",19,0.242217826843262,0.056378762743315,0.0465454578399658,0.0145221252103933,"MinMaxScaler","KNNImputer","OneHotEncoder","sag","multinomial",21,"LogisticRegression","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': KNNImputer(n_neighbors=10), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__solver': 'sag', 'model__multi_class': 'multinomial', 'model__C': 21, 'model': LogisticRegression(C=41, multi_class='multinomial', solver='saga')}",0.843575418994413,0.808988764044944,0.837078651685393,0.825842696629214,0.831460674157303,0.829389241102253,0.0117764422052735,5
"21",20,0.158631134033203,0.0445057041025184,0,0,"StandardScaler","KNNImputer","OrdinalEncoder","newton-cg","ovr",26,"LogisticRegression","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': KNNImputer(), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__solver': 'newton-cg', 'model__multi_class': 'ovr', 'model__C': 26, 'model': LogisticRegression(C=41, multi_class='multinomial', solver='saga')}",NA,NA,NA,NA,NA,NA,NA,49
"22",21,0.302230262756348,0.0419738932358961,0.0330641269683838,0.00934849678940632,"MinMaxScaler","SimpleImputer","OneHotEncoder","newton-cg","ovr",26,"LogisticRegression","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': SimpleImputer(strategy='most_frequent'), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__solver': 'newton-cg', 'model__multi_class': 'ovr', 'model__C': 26, 'model': LogisticRegression(C=41, multi_class='multinomial', solver='saga')}",0.837988826815642,0.803370786516854,0.825842696629214,0.831460674157303,0.831460674157303,0.826024731655263,0.0119622145262686,12
"23",22,0.648175001144409,0.0911930887575015,0.0497057914733887,0.00429687462165019,"MinMaxScaler","KNNImputer","OneHotEncoder","lbfgs","multinomial",41,"LogisticRegression","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': KNNImputer(n_neighbors=10), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__solver': 'lbfgs', 'model__multi_class': 'multinomial', 'model__C': 41, 'model': LogisticRegression(C=41, multi_class='multinomial', solver='saga')}",0.843575418994413,0.803370786516854,0.831460674157303,0.831460674157303,0.831460674157303,0.828265645596635,0.0133023892034773,8
"24",23,0.239754390716553,0.0492411334804184,0.0326164245605469,0.00618042136220759,"MinMaxScaler","KNNImputer","OneHotEncoder","saga","multinomial",6,"LogisticRegression","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': KNNImputer(n_neighbors=10), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__solver': 'saga', 'model__multi_class': 'multinomial', 'model__C': 6, 'model': LogisticRegression(C=41, multi_class='multinomial', solver='saga')}",0.843575418994413,0.803370786516854,0.831460674157303,0.820224719101124,0.831460674157303,0.8260184545854,0.0135201090735377,13
"25",24,0.261736917495728,0.0544632894246051,0.0408157825469971,0.00965749543942473,"MinMaxScaler","SimpleImputer","OneHotEncoder","saga","multinomial",21,"LogisticRegression","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': SimpleImputer(), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__solver': 'saga', 'model__multi_class': 'multinomial', 'model__C': 21, 'model': LogisticRegression(C=41, multi_class='multinomial', solver='saga')}",0.843575418994413,0.808988764044944,0.831460674157303,0.825842696629214,0.837078651685393,0.829389241102254,0.0117764422052735,4
"26",25,0.400068283081055,0.0830765617786667,0.0412472248077393,0.0112307499113485,"MinMaxScaler","SimpleImputer","OneHotEncoder","newton-cg","multinomial",31,"LogisticRegression","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': SimpleImputer(), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__solver': 'newton-cg', 'model__multi_class': 'multinomial', 'model__C': 31, 'model': LogisticRegression(C=41, multi_class='multinomial', solver='saga')}",0.843575418994413,0.808988764044944,0.825842696629214,0.831460674157303,0.825842696629214,0.827142050091018,0.0111501081649371,9
"27",26,0.156648397445679,0.0395546638501707,0,0,"MinMaxScaler","SimpleImputer","OrdinalEncoder","sag","ovr",1,"LogisticRegression","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': SimpleImputer(), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__solver': 'sag', 'model__multi_class': 'ovr', 'model__C': 1, 'model': LogisticRegression(C=41, multi_class='multinomial', solver='saga')}",NA,NA,NA,NA,NA,NA,NA,47
"28",27,0.148946475982666,0.0369662613992064,0,0,"MinMaxScaler","SimpleImputer","OrdinalEncoder","lbfgs","multinomial",41,"LogisticRegression","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': SimpleImputer(strategy='most_frequent'), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__solver': 'lbfgs', 'model__multi_class': 'multinomial', 'model__C': 41, 'model': LogisticRegression(C=41, multi_class='multinomial', solver='saga')}",NA,NA,NA,NA,NA,NA,NA,46
"29",28,0.147060441970825,0.0290814666064649,0,0,"MinMaxScaler","SimpleImputer","OrdinalEncoder","saga","multinomial",11,"LogisticRegression","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': SimpleImputer(), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__solver': 'saga', 'model__multi_class': 'multinomial', 'model__C': 11, 'model': LogisticRegression(C=41, multi_class='multinomial', solver='saga')}",NA,NA,NA,NA,NA,NA,NA,45
