"","X","mean_fit_time","std_fit_time","mean_score_time","std_score_time","param_preprocessor__num__scaler","param_preprocessor__num__imputer","param_preprocessor__cat__encoder","param_model__n_estimators","param_model__max_features","param_model__criterion","param_model__bootstrap","param_model","params","split0_test_score","split1_test_score","split2_test_score","split3_test_score","split4_test_score","mean_test_score","std_test_score","rank_test_score"
"40",39,0.131160736083984,0.0279697464040039,0,0,"StandardScaler","SimpleImputer","OrdinalEncoder",81,"sqrt","gini","True","RandomForestClassifier","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': SimpleImputer(strategy='most_frequent'), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__n_estimators': 81, 'model__max_features': 'sqrt', 'model__criterion': 'gini', 'model__bootstrap': True, 'model': RandomForestClassifier(max_features='sqrt', n_estimators=91)}",NA,NA,NA,NA,NA,NA,NA,29
"41",40,0.113734579086304,0.00815564871457139,0,0,"MinMaxScaler","SimpleImputer","OrdinalEncoder",56,"sqrt","entropy","False","RandomForestClassifier","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': SimpleImputer(strategy='most_frequent'), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__n_estimators': 56, 'model__max_features': 'sqrt', 'model__criterion': 'entropy', 'model__bootstrap': False, 'model': RandomForestClassifier(max_features='sqrt', n_estimators=91)}",NA,NA,NA,NA,NA,NA,NA,33
"42",41,0.917144250869751,0.0941392387034604,0.0993846416473389,0.0330422335928531,"StandardScaler","SimpleImputer","OneHotEncoder",86,"log2","gini","False","RandomForestClassifier","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': SimpleImputer(strategy='most_frequent'), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__n_estimators': 86, 'model__max_features': 'log2', 'model__criterion': 'gini', 'model__bootstrap': False, 'model': RandomForestClassifier(max_features='sqrt', n_estimators=91)}",0.737430167597765,0.814606741573034,0.870786516853933,0.808988764044944,0.859550561797753,0.818272550373486,0.0471098898284914,10
"43",42,0.433139181137085,0.0612042621957356,0.0644656181335449,0.0160924384776527,"StandardScaler","KNNImputer","OneHotEncoder",31,"sqrt","gini","False","RandomForestClassifier","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': KNNImputer(n_neighbors=10), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__n_estimators': 31, 'model__max_features': 'sqrt', 'model__criterion': 'gini', 'model__bootstrap': False, 'model': RandomForestClassifier(max_features='sqrt', n_estimators=91)}",0.748603351955307,0.820224719101124,0.848314606741573,0.837078651685393,0.848314606741573,0.820507187244994,0.0373934751245069,6
"44",43,0.39033031463623,0.0707554952467713,0.0532336235046387,0.0158675987419892,"StandardScaler","KNNImputer","OneHotEncoder",26,"sqrt","gini","True","RandomForestClassifier","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': KNNImputer(n_neighbors=10), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__n_estimators': 26, 'model__max_features': 'sqrt', 'model__criterion': 'gini', 'model__bootstrap': True, 'model': RandomForestClassifier(max_features='sqrt', n_estimators=91)}",0.776536312849162,0.797752808988764,0.825842696629214,0.764044943820225,0.814606741573034,0.79575670077208,0.0229762245541202,26
"45",44,1.34941782951355,0.106650451441231,0.101103162765503,0.0371627530092058,"StandardScaler","SimpleImputer","OneHotEncoder",131,"log2","gini","False","RandomForestClassifier","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': SimpleImputer(), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__n_estimators': 131, 'model__max_features': 'log2', 'model__criterion': 'gini', 'model__bootstrap': False, 'model': RandomForestClassifier(max_features='sqrt', n_estimators=91)}",0.770949720670391,0.820224719101124,0.848314606741573,0.814606741573034,0.848314606741573,0.820482078965539,0.0284159798235497,7
"46",45,0.191360902786255,0.0355501740098008,0,0,"StandardScaler","KNNImputer","OrdinalEncoder",151,"log2","entropy","False","RandomForestClassifier","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': KNNImputer(), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__n_estimators': 151, 'model__max_features': 'log2', 'model__criterion': 'entropy', 'model__bootstrap': False, 'model': RandomForestClassifier(max_features='sqrt', n_estimators=91)}",NA,NA,NA,NA,NA,NA,NA,28
"47",46,0.148089170455933,0.0369823968107524,0,0,"StandardScaler","SimpleImputer","OrdinalEncoder",1,"sqrt","gini","False","RandomForestClassifier","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': SimpleImputer(strategy='most_frequent'), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__n_estimators': 1, 'model__max_features': 'sqrt', 'model__criterion': 'gini', 'model__bootstrap': False, 'model': RandomForestClassifier(max_features='sqrt', n_estimators=91)}",NA,NA,NA,NA,NA,NA,NA,30
"48",47,0.652494525909424,0.0807385580601127,0.0744016170501709,0.0209851294235177,"MinMaxScaler","KNNImputer","OneHotEncoder",51,"log2","gini","False","RandomForestClassifier","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': KNNImputer(n_neighbors=10), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__n_estimators': 51, 'model__max_features': 'log2', 'model__criterion': 'gini', 'model__bootstrap': False, 'model': RandomForestClassifier(max_features='sqrt', n_estimators=91)}",0.748603351955307,0.808988764044944,0.842696629213483,0.831460674157303,0.848314606741573,0.816012805222522,0.0362972203977992,12
"49",48,0.143189859390259,0.0381115886919979,0,0,"MinMaxScaler","KNNImputer","OrdinalEncoder",86,"log2","gini","False","RandomForestClassifier","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': KNNImputer(n_neighbors=10), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__n_estimators': 86, 'model__max_features': 'log2', 'model__criterion': 'gini', 'model__bootstrap': False, 'model': RandomForestClassifier(max_features='sqrt', n_estimators=91)}",NA,NA,NA,NA,NA,NA,NA,39
"50",49,0.805560779571533,0.169366298356893,0.0512240409851074,0.00770058656478034,"MinMaxScaler","SimpleImputer","OneHotEncoder",76,"sqrt","gini","False","RandomForestClassifier","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': SimpleImputer(strategy='most_frequent'), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__n_estimators': 76, 'model__max_features': 'sqrt', 'model__criterion': 'gini', 'model__bootstrap': False, 'model': RandomForestClassifier(max_features='sqrt', n_estimators=91)}",0.726256983240223,0.803370786516854,0.848314606741573,0.814606741573034,0.842696629213483,0.807049149457033,0.0437529483632928,22
