"","X","mean_fit_time","std_fit_time","mean_score_time","std_score_time","param_preprocessor__num__scaler","param_preprocessor__num__imputer","param_preprocessor__cat__encoder","param_model__weights","param_model__n_neighbors","param_model__leaf_size","param_model__algorithm","param_model","params","split0_test_score","split1_test_score","split2_test_score","split3_test_score","split4_test_score","mean_test_score","std_test_score","rank_test_score"
"28",27,0.334336185455322,0.0114147206656781,0,0,"MinMaxScaler","KNNImputer","OrdinalEncoder","uniform",10,241,"kd_tree","KNeighborsClassifier","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': KNNImputer(n_neighbors=10), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__weights': 'uniform', 'model__n_neighbors': 10, 'model__leaf_size': 241, 'model__algorithm': 'kd_tree', 'model': KNeighborsClassifier(algorithm='kd_tree', leaf_size=321, n_neighbors=34,
                     weights='distance')}",NA,NA,NA,NA,NA,NA,NA,48
"29",28,0.289690542221069,0.0574469907103891,0,0,"StandardScaler","SimpleImputer","OrdinalEncoder","distance",40,261,"ball_tree","KNeighborsClassifier","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': SimpleImputer(strategy='most_frequent'), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__weights': 'distance', 'model__n_neighbors': 40, 'model__leaf_size': 261, 'model__algorithm': 'ball_tree', 'model': KNeighborsClassifier(algorithm='kd_tree', leaf_size=321, n_neighbors=34,
                     weights='distance')}",NA,NA,NA,NA,NA,NA,NA,33
"30",29,0.260493421554565,0.0372171302912697,0.13506932258606,0.0493158364004848,"MinMaxScaler","SimpleImputer","OneHotEncoder","uniform",40,271,"ball_tree","KNeighborsClassifier","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': SimpleImputer(), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__weights': 'uniform', 'model__n_neighbors': 40, 'model__leaf_size': 271, 'model__algorithm': 'ball_tree', 'model': KNeighborsClassifier(algorithm='kd_tree', leaf_size=321, n_neighbors=34,
                     weights='distance')}",0.759776536312849,0.820224719101124,0.831460674157303,0.764044943820225,0.814606741573034,0.798022722992907,0.0300110484808552,15
"31",30,0.254089736938477,0.0432829834356342,0,0,"StandardScaler","KNNImputer","OrdinalEncoder","uniform",46,16,"kd_tree","KNeighborsClassifier","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': KNNImputer(), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__weights': 'uniform', 'model__n_neighbors': 46, 'model__leaf_size': 16, 'model__algorithm': 'kd_tree', 'model': KNeighborsClassifier(algorithm='kd_tree', leaf_size=321, n_neighbors=34,
                     weights='distance')}",NA,NA,NA,NA,NA,NA,NA,49
"32",31,0.222883367538452,0.0133683017133192,0,0,"StandardScaler","KNNImputer","OrdinalEncoder","uniform",19,1,"ball_tree","KNeighborsClassifier","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': KNNImputer(n_neighbors=10), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__weights': 'uniform', 'model__n_neighbors': 19, 'model__leaf_size': 1, 'model__algorithm': 'ball_tree', 'model': KNeighborsClassifier(algorithm='kd_tree', leaf_size=321, n_neighbors=34,
                     weights='distance')}",NA,NA,NA,NA,NA,NA,NA,31
"33",32,0.335138702392578,0.0674414200075143,0,0,"MinMaxScaler","KNNImputer","OrdinalEncoder","distance",1,136,"ball_tree","KNeighborsClassifier","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': KNNImputer(), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__weights': 'distance', 'model__n_neighbors': 1, 'model__leaf_size': 136, 'model__algorithm': 'ball_tree', 'model': KNeighborsClassifier(algorithm='kd_tree', leaf_size=321, n_neighbors=34,
                     weights='distance')}",NA,NA,NA,NA,NA,NA,NA,30
"34",33,0.346665668487549,0.0716913800593924,0,0,"MinMaxScaler","KNNImputer","OrdinalEncoder","distance",46,106,"ball_tree","KNeighborsClassifier","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': KNNImputer(n_neighbors=10), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__weights': 'distance', 'model__n_neighbors': 46, 'model__leaf_size': 106, 'model__algorithm': 'ball_tree', 'model': KNeighborsClassifier(algorithm='kd_tree', leaf_size=321, n_neighbors=34,
                     weights='distance')}",NA,NA,NA,NA,NA,NA,NA,29
"35",34,0.314846038818359,0.0125465355987926,0.15923900604248,0.017728962366217,"MinMaxScaler","KNNImputer","OneHotEncoder","uniform",31,221,"ball_tree","KNeighborsClassifier","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': KNNImputer(), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__weights': 'uniform', 'model__n_neighbors': 31, 'model__leaf_size': 221, 'model__algorithm': 'ball_tree', 'model': KNeighborsClassifier(algorithm='kd_tree', leaf_size=321, n_neighbors=34,
                     weights='distance')}",0.793296089385475,0.820224719101124,0.820224719101124,0.769662921348315,0.837078651685393,0.808097420124286,0.0237922030570755,6
"36",35,0.234432029724121,0.040570494469595,0,0,"MinMaxScaler","KNNImputer","OrdinalEncoder","uniform",49,226,"ball_tree","KNeighborsClassifier","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': KNNImputer(), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__weights': 'uniform', 'model__n_neighbors': 49, 'model__leaf_size': 226, 'model__algorithm': 'ball_tree', 'model': KNeighborsClassifier(algorithm='kd_tree', leaf_size=321, n_neighbors=34,
                     weights='distance')}",NA,NA,NA,NA,NA,NA,NA,27
"37",36,0.271946716308594,0.0779976312751328,0,0,"StandardScaler","SimpleImputer","OrdinalEncoder","uniform",31,86,"kd_tree","KNeighborsClassifier","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': SimpleImputer(strategy='most_frequent'), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__weights': 'uniform', 'model__n_neighbors': 31, 'model__leaf_size': 86, 'model__algorithm': 'kd_tree', 'model': KNeighborsClassifier(algorithm='kd_tree', leaf_size=321, n_neighbors=34,
                     weights='distance')}",NA,NA,NA,NA,NA,NA,NA,25
