,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_preprocessor__num__scaler,param_preprocessor__num__imputer,param_preprocessor__cat__encoder,param_model__weights,param_model__n_neighbors,param_model__leaf_size,param_model__algorithm,param_model,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
10,0.038983488082885744,0.01734267714397294,0.023738670349121093,0.009470120621114696,StandardScaler(),SimpleImputer(strategy='most_frequent'),"OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999)",uniform,37,61,kd_tree,"KNeighborsClassifier(algorithm='kd_tree', leaf_size=151, n_neighbors=4)","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': SimpleImputer(strategy='most_frequent'), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__weights': 'uniform', 'model__n_neighbors': 37, 'model__leaf_size': 61, 'model__algorithm': 'kd_tree', 'model': KNeighborsClassifier(algorithm='kd_tree', leaf_size=151, n_neighbors=4)}",0.8666666666666667,0.9333333333333333,0.8666666666666667,0.9,0.9666666666666667,0.9066666666666666,0.038873012632301994,45
11,0.020830631256103516,0.006821473919886326,0.01324305534362793,0.0056832281491327845,MinMaxScaler(),KNNImputer(n_neighbors=10),OneHotEncoder(handle_unknown='ignore'),distance,25,236,ball_tree,"KNeighborsClassifier(algorithm='kd_tree', leaf_size=151, n_neighbors=4)","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': KNNImputer(n_neighbors=10), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__weights': 'distance', 'model__n_neighbors': 25, 'model__leaf_size': 236, 'model__algorithm': 'ball_tree', 'model': KNeighborsClassifier(algorithm='kd_tree', leaf_size=151, n_neighbors=4)}",0.9666666666666667,0.9666666666666667,0.9333333333333333,0.9,1.0,0.9533333333333334,0.03399346342395189,14
12,0.031387948989868165,0.009520081139336044,0.03669672012329102,0.011137978641500694,MinMaxScaler(),SimpleImputer(),OneHotEncoder(handle_unknown='ignore'),uniform,1,161,kd_tree,"KNeighborsClassifier(algorithm='kd_tree', leaf_size=151, n_neighbors=4)","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': SimpleImputer(), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__weights': 'uniform', 'model__n_neighbors': 1, 'model__leaf_size': 161, 'model__algorithm': 'kd_tree', 'model': KNeighborsClassifier(algorithm='kd_tree', leaf_size=151, n_neighbors=4)}",0.9666666666666667,0.9666666666666667,0.9333333333333333,0.9,1.0,0.9533333333333334,0.03399346342395189,14
13,0.038107776641845705,0.009998622888699496,0.023741674423217774,0.005810765132607223,StandardScaler(),SimpleImputer(),OneHotEncoder(handle_unknown='ignore'),uniform,19,51,ball_tree,"KNeighborsClassifier(algorithm='kd_tree', leaf_size=151, n_neighbors=4)","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': SimpleImputer(), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__weights': 'uniform', 'model__n_neighbors': 19, 'model__leaf_size': 51, 'model__algorithm': 'ball_tree', 'model': KNeighborsClassifier(algorithm='kd_tree', leaf_size=151, n_neighbors=4)}",0.9,0.9666666666666667,0.9333333333333333,0.9333333333333333,1.0,0.9466666666666667,0.03399346342395189,28
14,0.035208845138549806,0.010109584805820552,0.024838590621948244,0.006471261499802097,StandardScaler(),SimpleImputer(strategy='most_frequent'),OneHotEncoder(handle_unknown='ignore'),uniform,25,336,ball_tree,"KNeighborsClassifier(algorithm='kd_tree', leaf_size=151, n_neighbors=4)","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': SimpleImputer(strategy='most_frequent'), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__weights': 'uniform', 'model__n_neighbors': 25, 'model__leaf_size': 336, 'model__algorithm': 'ball_tree', 'model': KNeighborsClassifier(algorithm='kd_tree', leaf_size=151, n_neighbors=4)}",0.9,0.9666666666666667,0.9333333333333333,0.9,1.0,0.9399999999999998,0.038873012632301994,35
15,0.027788114547729493,0.009519605563227417,0.024195146560668946,0.007876820443146108,StandardScaler(),KNNImputer(),OneHotEncoder(handle_unknown='ignore'),uniform,37,291,ball_tree,"KNeighborsClassifier(algorithm='kd_tree', leaf_size=151, n_neighbors=4)","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': KNNImputer(), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__weights': 'uniform', 'model__n_neighbors': 37, 'model__leaf_size': 291, 'model__algorithm': 'ball_tree', 'model': KNeighborsClassifier(algorithm='kd_tree', leaf_size=151, n_neighbors=4)}",0.8666666666666667,0.9333333333333333,0.8666666666666667,0.9,0.9666666666666667,0.9066666666666666,0.038873012632301994,45
16,0.022675752639770508,0.009880122785008752,0.016052961349487305,0.007201351365955636,MinMaxScaler(),SimpleImputer(),"OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999)",uniform,19,286,kd_tree,"KNeighborsClassifier(algorithm='kd_tree', leaf_size=151, n_neighbors=4)","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': SimpleImputer(), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__weights': 'uniform', 'model__n_neighbors': 19, 'model__leaf_size': 286, 'model__algorithm': 'kd_tree', 'model': KNeighborsClassifier(algorithm='kd_tree', leaf_size=151, n_neighbors=4)}",0.9333333333333333,0.9666666666666667,0.9333333333333333,0.9333333333333333,1.0,0.9533333333333334,0.02666666666666666,14
17,0.04099793434143066,0.005084467679450766,0.018781709671020507,0.004915849298237132,StandardScaler(),SimpleImputer(strategy='most_frequent'),OneHotEncoder(handle_unknown='ignore'),distance,46,336,kd_tree,"KNeighborsClassifier(algorithm='kd_tree', leaf_size=151, n_neighbors=4)","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': SimpleImputer(strategy='most_frequent'), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__weights': 'distance', 'model__n_neighbors': 46, 'model__leaf_size': 336, 'model__algorithm': 'kd_tree', 'model': KNeighborsClassifier(algorithm='kd_tree', leaf_size=151, n_neighbors=4)}",0.8666666666666667,0.9333333333333333,0.9333333333333333,0.9333333333333333,1.0,0.9333333333333333,0.04216370213557838,38
18,0.016754531860351564,0.003316318168776234,0.009239912033081055,0.000887921006148021,StandardScaler(),KNNImputer(n_neighbors=10),"OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999)",distance,22,121,ball_tree,"KNeighborsClassifier(algorithm='kd_tree', leaf_size=151, n_neighbors=4)","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': KNNImputer(n_neighbors=10), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__weights': 'distance', 'model__n_neighbors': 22, 'model__leaf_size': 121, 'model__algorithm': 'ball_tree', 'model': KNeighborsClassifier(algorithm='kd_tree', leaf_size=151, n_neighbors=4)}",0.9333333333333333,0.9666666666666667,0.9666666666666667,0.9,1.0,0.9533333333333334,0.03399346342395189,14
19,0.02703709602355957,0.008515914039738786,0.021018028259277344,0.005921773125327591,StandardScaler(),KNNImputer(),OneHotEncoder(handle_unknown='ignore'),uniform,28,96,ball_tree,"KNeighborsClassifier(algorithm='kd_tree', leaf_size=151, n_neighbors=4)","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': KNNImputer(), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__weights': 'uniform', 'model__n_neighbors': 28, 'model__leaf_size': 96, 'model__algorithm': 'ball_tree', 'model': KNeighborsClassifier(algorithm='kd_tree', leaf_size=151, n_neighbors=4)}",0.9,0.9666666666666667,0.8666666666666667,0.9,1.0,0.9266666666666665,0.04898979485566355,39
