"","mean_test_score","std_test_score","param_model"
"94",0.926666666666667,0.0573488351136175,"LogisticRegression"
"95",0.973333333333333,0.032659863237109,"LogisticRegression"
"96",0.94,0.038873012632302,"LogisticRegression"
"97",0.973333333333333,0.032659863237109,"LogisticRegression"
"98",0.96,0.038873012632302,"LogisticRegression"
"99",0.973333333333333,0.032659863237109,"LogisticRegression"
"100",0.94,0.038873012632302,"LogisticRegression"
"101",0.96,0.038873012632302,"LogisticRegression"
"102",0.953333333333333,0.0498887651569859,"MLPClassifier"
"103",0.226666666666667,0.0904310664416702,"MLPClassifier"
"104",0.973333333333333,0.032659863237109,"MLPClassifier"
"105",0.36,0.194821855949366,"MLPClassifier"
"106",0.96,0.0249443825784929,"MLPClassifier"
"107",0.706666666666667,0.0249443825784929,"MLPClassifier"
"108",0.973333333333333,0.032659863237109,"MLPClassifier"
