"","X","mean_fit_time","std_fit_time","mean_score_time","std_score_time","param_preprocessor__num__scaler","param_preprocessor__num__imputer","param_preprocessor__cat__encoder","param_model__solver","param_model__learning_rate","param_model__hidden_layer_sizes","param_model__activation","param_model","params","split0_test_score","split1_test_score","split2_test_score","split3_test_score","split4_test_score","mean_test_score","std_test_score","rank_test_score"
"25",24,0.769599914550781,0.337232494063774,0.0227803707122803,0.00913683040146936,"MinMaxScaler","SimpleImputer","OrdinalEncoder","sgd","invscaling","(640, 20)","logistic","MLPClassifier","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': SimpleImputer(strategy='most_frequent'), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__solver': 'sgd', 'model__learning_rate': 'invscaling', 'model__hidden_layer_sizes': (640, 20), 'model__activation': 'logistic', 'model': MLPClassifier(activation='tanh', hidden_layer_sizes=(250,), solver='lbfgs')}",0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0,47
"26",25,0.330768823623657,0.10411102738211,0.012086820602417,0.00501724098493031,"StandardScaler","SimpleImputer","OrdinalEncoder","lbfgs","constant","(100, 150)","identity","MLPClassifier","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': SimpleImputer(strategy='most_frequent'), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__solver': 'lbfgs', 'model__learning_rate': 'constant', 'model__hidden_layer_sizes': (100, 150), 'model__activation': 'identity', 'model': MLPClassifier(activation='tanh', hidden_layer_sizes=(250,), solver='lbfgs')}",1,1,0.933333333333333,0.933333333333333,1,0.973333333333333,0.032659863237109,1
"27",26,0.431392192840576,0.0947842404871587,0.00928997993469238,0.00276150437523325,"MinMaxScaler","KNNImputer","OneHotEncoder","sgd","adaptive","(20,)","relu","MLPClassifier","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': KNNImputer(n_neighbors=10), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__solver': 'sgd', 'model__learning_rate': 'adaptive', 'model__hidden_layer_sizes': (20,), 'model__activation': 'relu', 'model': MLPClassifier(activation='tanh', hidden_layer_sizes=(250,), solver='lbfgs')}",0.366666666666667,0.666666666666667,0.666666666666667,0.933333333333333,0.433333333333333,0.613333333333333,0.200665559243899,41
"28",27,3.46706490516663,0.33532082920289,0.0146519660949707,0.0066577092824917,"MinMaxScaler","SimpleImputer","OneHotEncoder","adam","invscaling","(560, 50)","tanh","MLPClassifier","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': SimpleImputer(strategy='most_frequent'), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__solver': 'adam', 'model__learning_rate': 'invscaling', 'model__hidden_layer_sizes': (560, 50), 'model__activation': 'tanh', 'model': MLPClassifier(activation='tanh', hidden_layer_sizes=(250,), solver='lbfgs')}",1,1,0.933333333333333,0.933333333333333,1,0.973333333333333,0.032659863237109,1
"29",28,1.8119282245636,0.289191887319454,0.0118533134460449,0.00468154168101963,"MinMaxScaler","KNNImputer","OneHotEncoder","adam","invscaling","(560, 4)","logistic","MLPClassifier","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': KNNImputer(), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__solver': 'adam', 'model__learning_rate': 'invscaling', 'model__hidden_layer_sizes': (560, 4), 'model__activation': 'logistic', 'model': MLPClassifier(activation='tanh', hidden_layer_sizes=(250,), solver='lbfgs')}",0.333333333333333,0.866666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.64,0.171787983023002,40
"30",29,1.16995077133179,0.125299193899588,0.00733184814453125,0.000633513365655155,"MinMaxScaler","KNNImputer","OneHotEncoder","adam","adaptive","(100, 100)","identity","MLPClassifier","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': KNNImputer(n_neighbors=10), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__solver': 'adam', 'model__learning_rate': 'adaptive', 'model__hidden_layer_sizes': (100, 100), 'model__activation': 'identity', 'model': MLPClassifier(activation='tanh', hidden_layer_sizes=(250,), solver='lbfgs')}",1,1,0.933333333333333,0.933333333333333,1,0.973333333333333,0.032659863237109,1
"31",30,0.215694236755371,0.102772892872338,0.0143584728240967,0.00550290635706805,"MinMaxScaler","SimpleImputer","OneHotEncoder","lbfgs","constant","(250,)","relu","MLPClassifier","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': SimpleImputer(), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__solver': 'lbfgs', 'model__learning_rate': 'constant', 'model__hidden_layer_sizes': (250,), 'model__activation': 'relu', 'model': MLPClassifier(activation='tanh', hidden_layer_sizes=(250,), solver='lbfgs')}",1,0.966666666666667,0.933333333333333,0.9,1,0.96,0.038873012632302,17
"32",31,0.522711277008057,0.103415592022173,0.0125199794769287,0.00588531546296619,"MinMaxScaler","SimpleImputer","OneHotEncoder","adam","invscaling","(20,)","relu","MLPClassifier","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': SimpleImputer(), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__solver': 'adam', 'model__learning_rate': 'invscaling', 'model__hidden_layer_sizes': (20,), 'model__activation': 'relu', 'model': MLPClassifier(activation='tanh', hidden_layer_sizes=(250,), solver='lbfgs')}",0.766666666666667,0.8,0.766666666666667,0.666666666666667,0.8,0.76,0.0489897948556636,35
"33",32,0.216121244430542,0.0683419029381981,0.0130979061126709,0.00520733355024216,"MinMaxScaler","SimpleImputer","OrdinalEncoder","lbfgs","adaptive","(150,)","relu","MLPClassifier","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': SimpleImputer(strategy='most_frequent'), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__solver': 'lbfgs', 'model__learning_rate': 'adaptive', 'model__hidden_layer_sizes': (150,), 'model__activation': 'relu', 'model': MLPClassifier(activation='tanh', hidden_layer_sizes=(250,), solver='lbfgs')}",1,1,0.933333333333333,0.9,1,0.966666666666667,0.0421637021355784,13
"34",33,1.39267902374268,0.144235305907083,0.00799331665039063,0.000956210966153784,"StandardScaler","KNNImputer","OneHotEncoder","adam","adaptive","(100, 100)","logistic","MLPClassifier","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': KNNImputer(n_neighbors=10), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__solver': 'adam', 'model__learning_rate': 'adaptive', 'model__hidden_layer_sizes': (100, 100), 'model__activation': 'logistic', 'model': MLPClassifier(activation='tanh', hidden_layer_sizes=(250,), solver='lbfgs')}",0.933333333333333,0.966666666666667,0.9,0.9,0.966666666666667,0.933333333333333,0.0298142396999972,33
